BlockNumber,TrialType,FileName,Xcoord,Ycoord,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,TrialLoop.thisRepN,TrialLoop.thisTrialN,TrialLoop.thisN,TrialLoop.thisIndex,key_resp_cross.keys,key_resp_cross.rt,text_cross_space.started,text_cross_space.stopped,id_participant,age,handedness,gender,Xpos,Ypos,ClickInTime,find_target.x,find_target.y,find_target.leftButton,find_target.midButton,find_target.rightButton,find_target.time,find_target.clicked_name,participant,age,handedness,gender,date,expName,psychopyVersion,frameRate,
1,original,Bathroom_1,-0.11568819060810798,-0.12995225518980047,0,0,0,0,0,0,0,22,space,0.48439241600135574,35.37523350000265,None,4,29,right,female,-0.11568819060810798,-0.12995225518980047,0,,,,,,,,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,mirrored,Bathroom_8,-0.16089804177851275,0.13169445204869606,0,0,0,0,0,1,1,0,space,0.9320612910014461,50.90856850000273,None,4,29,right,female,-0.16089804177851275,0.13169445204869606,1,-0.16111111111111112,0.14555555555555555,1,0,0,2.075755500001833,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,original,Bedroom_2,0.3135318866258656,-0.16959484586915044,0,0,0,0,0,2,2,27,space,0.5126781240032869,54.39309766599763,None,4,29,right,female,0.3135318866258656,-0.16959484586915044,1,0.3111111111111111,-0.16444444444444445,1,0,0,1.3897293749978417,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,original,Bedroom_4,-0.4702380351704055,-0.2469168006571199,0,0,0,0,0,3,3,23,space,0.3564298740020604,56.72524520799925,None,4,29,right,female,-0.4702380351704055,-0.2469168006571199,1,-0.4688888888888889,-0.23222222222222222,1,0,0,1.3465255420014728,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,mirrored,Kitchen_8,-0.11132388571485186,-0.17698034037259128,0,0,0,0,0,4,4,7,space,0.3214087489977828,58.87625808300072,None,4,29,right,female,-0.11132388571485186,-0.17698034037259128,1,-0.1111111111111111,-0.17222222222222222,1,0,0,1.3906925830015098,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,original,Bathroom_3,-0.6356834820210253,0.2764628709964608,0,0,0,0,0,5,5,20,space,0.41163387399865314,61.026192541001365,None,4,29,right,female,-0.6356834820210253,0.2764628709964608,1,-0.64,0.29444444444444445,1,0,0,1.1182929589995183,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,new,Bathroom_10,0.46254178714037875,-0.16546585170344652,0,0,0,0,0,6,6,15,space,0.3134334989954368,62.99227624999912,None,4,29,right,female,0.46254178714037875,-0.16546585170344652,1,0.45111111111111113,-0.15666666666666668,1,0,0,5.21458595799777,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,original,Kitchen_6,0.4928514731863744,-0.014576253836238728,0,0,0,0,0,7,7,29,space,0.3219693319988437,68.94266025000252,None,4,29,right,female,0.4928514731863744,-0.014576253836238728,1,0.4911111111111111,-0.008888888888888889,1,0,0,3.7005525839995244,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,mirrored,Bathroom_4,-0.14844654532488488,0.3229953623895782,0,0,0,0,0,8,8,2,space,0.2506532490006066,73.40979016599886,None,4,29,right,female,-0.14844654532488488,0.3229953623895782,1,-0.14444444444444443,0.33,1,0,0,1.1257805000059307,stimulus,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
1,mirrored,Bedroom_10,-0.4720161341928508,-0.004294639390558297,0,0,0,0,0,9,9,8,space,0.07579279100173153,75.24263170800259,None,4,29,right,female,-0.4720161341928508,-0.004294639390558297,0,,,,,,,,4,29,right,female,2022_Sep_20_1235,exp_builder_script,2021.2.3,59.92774212325566,
